transponder_id,loop,utcTimestamp,utcTime,lapTime,eventName,trackedRider
RR18114,L06,1741811494.854,2025-03-12 20:31:34.854000,28.699,Vlaamse wielerschool,
RR18114,L06,1741811502.601,2025-03-12 20:31:42.601000,30.395,Vlaamse wielerschool,
RR18114,L06,1741811509.189,2025-03-12 20:31:49.189000,32.141,Vlaamse wielerschool,
RR18114,L06,1741811510.758,2025-03-12 20:31:50.758000,32.562,Vlaamse wielerschool,
RR18114,L06,1741811486.564,2025-03-12 20:31:26.564000,27.16,Vlaamse wielerschool,
NS41086,L03,1741949783.064,2025-03-14 10:56:23.064000,34.075,Vlaamse wielerschool,
NS41086,L03,1741949790.097,2025-03-14 10:56:30.097000,37.311,Vlaamse wielerschool,
NS41086,L03,1741949794.289,2025-03-14 10:56:34.289000,39.804,Vlaamse wielerschool,
NS41086,L03,1741949760.637,2025-03-14 10:56:00.637000,25.24,Vlaamse wielerschool,
NS41086,L03,1741949766.388,2025-03-14 10:56:06.388000,27.456,Vlaamse wielerschool,
NS41086,L03,1741949767.751,2025-03-14 10:56:07.751000,27.845,Vlaamse wielerschool,
NS41086,L03,1741949782.767,2025-03-14 10:56:22.767000,3.182,Vlaamse wielerschool,
SC89632,L07,1741718893.766,2025-03-11 18:48:13.766000,28.025,Vlaamse wielerschool,
SC89632,L07,1741718898.595,2025-03-11 18:48:18.595000,29.254,Vlaamse wielerschool,
SC89632,L07,1741718871.005,2025-03-11 18:47:51.005000,25.843,Vlaamse wielerschool,
SC89632,L07,1741718909.17,2025-03-11 18:48:29.170000,31.893,Vlaamse wielerschool,
SC89632,L07,1741718882.046,2025-03-11 18:48:02.046000,26.217,Vlaamse wielerschool,
SC89632,L07,1741718883.13,2025-03-11 18:48:03.130000,26.281,Vlaamse wielerschool,
SC89632,L07,1741718927.993,2025-03-11 18:48:47.993000,36.537,Vlaamse wielerschool,
SC73747,L01,1741881410.369,2025-03-13 15:56:50.369000,131.151,Vlaamse wielerschool,
SC73747,L01,1741881282.92,2025-03-13 15:54:42.920000,26.512,Vlaamse wielerschool,
SC73747,L01,1741881284.56,2025-03-13 15:54:44.560000,26.531,Vlaamse wielerschool,
SC73747,L01,1741881290.633,2025-03-13 15:54:50.633000,26.546,Vlaamse wielerschool,
SC73747,L01,1741881295.577,2025-03-13 15:54:55.577000,26.926,Vlaamse wielerschool,
